method,ate,rpe,avg_runtime_per_frame,total_runtime,landmark_position_error,map_consistency_score,false_landmark_updates,matched_landmarks,state_classification_accuracy,confusion_matrix,change_precision,change_recall,seed,run_label,dynamic_track_position_error,track_survival_length,id_switch_count
pov_baseline,1.3128929174433535,0.24102108376648643,0.0002495799998373345,0.06738659995608032,6.134954791424566,0.29961087355201693,25.0,48.0,0.27586206896551724,"{'STATIC': {'STATIC': 5, 'SEMI_STATIC': 8, 'DYNAMIC': 0}, 'SEMI_STATIC': {'STATIC': 2, 'SEMI_STATIC': 3, 'DYNAMIC': 0}, 'DYNAMIC': {'STATIC': 2, 'SEMI_STATIC': 9, 'DYNAMIC': 0}}",0.6,0.75,7,baseline,,,
motion_aware_filter_only,1.3829110057018046,0.24930456156501501,0.0009067500001509433,0.24482250004075468,5.1193102592911925,0.36231124329234055,0.0,53.0,0.6896551724137931,"{'STATIC': {'STATIC': 11, 'SEMI_STATIC': 0, 'DYNAMIC': 2}, 'SEMI_STATIC': {'STATIC': 5, 'SEMI_STATIC': 0, 'DYNAMIC': 0}, 'DYNAMIC': {'STATIC': 2, 'SEMI_STATIC': 0, 'DYNAMIC': 9}}",0.8181818181818182,0.5625,7,dynamic_filter_only,0.1484361750660096,6.25,13.0
motion_aware_tracking_only,1.3829110057018046,0.24930456156501501,0.0007987418522437413,0.21566030010581017,5.1193102592911925,0.36231124329234055,0.0,53.0,0.6896551724137931,"{'STATIC': {'STATIC': 11, 'SEMI_STATIC': 0, 'DYNAMIC': 2}, 'SEMI_STATIC': {'STATIC': 5, 'SEMI_STATIC': 0, 'DYNAMIC': 0}, 'DYNAMIC': {'STATIC': 2, 'SEMI_STATIC': 0, 'DYNAMIC': 9}}",0.8181818181818182,0.5625,7,kalman_tracking_only,0.1484361750660096,6.25,13.0
motion_aware_full,0.9341172552764636,0.2428871035685085,0.0008236166667538109,0.22237650002352893,4.991283087070217,0.3742459744054718,3.0,47.0,0.6551724137931034,"{'STATIC': {'STATIC': 7, 'SEMI_STATIC': 4, 'DYNAMIC': 2}, 'SEMI_STATIC': {'STATIC': 2, 'SEMI_STATIC': 3, 'DYNAMIC': 0}, 'DYNAMIC': {'STATIC': 2, 'SEMI_STATIC': 0, 'DYNAMIC': 9}}",0.6666666666666666,0.75,7,full_motion_aware,0.15007588084077014,8.0,12.0
