method,ate,rpe,avg_runtime_per_frame,total_runtime,landmark_position_error,map_consistency_score,false_landmark_updates,matched_landmarks,state_classification_accuracy,confusion_matrix,change_precision,change_recall,seed,run_label,dynamic_track_position_error,track_survival_length,id_switch_count
baseline,1.1329227869475338,0.23528847245285445,0.00036174037097090925,0.0976699001621455,4.253656305450134,0.432920883171885,0.0,80.0,0.275,"{'STATIC': {'STATIC': 22, 'SEMI_STATIC': 0, 'DYNAMIC': 0}, 'SEMI_STATIC': {'STATIC': 16, 'SEMI_STATIC': 0, 'DYNAMIC': 0}, 'DYNAMIC': {'STATIC': 42, 'SEMI_STATIC': 0, 'DYNAMIC': 0}}",0.0,0.0,3,baseline,,,
motion_aware_filter_only,1.202211360767343,0.24224519777691947,0.0012426618521136266,0.3355187000706792,2.188425133738488,0.6970021613495951,0.0,26.0,0.46153846153846156,"{'STATIC': {'STATIC': 12, 'SEMI_STATIC': 0, 'DYNAMIC': 0}, 'SEMI_STATIC': {'STATIC': 7, 'SEMI_STATIC': 0, 'DYNAMIC': 0}, 'DYNAMIC': {'STATIC': 7, 'SEMI_STATIC': 0, 'DYNAMIC': 0}}",0.0,0.0,3,dynamic_filter_only,0.18886849660373642,7.833333333333333,248.0
motion_aware_tracking_only,1.202211360767343,0.24224519777691947,0.0010648488886309438,0.28750919993035484,2.188425133738488,0.6970021613495951,0.0,26.0,0.46153846153846156,"{'STATIC': {'STATIC': 12, 'SEMI_STATIC': 0, 'DYNAMIC': 0}, 'SEMI_STATIC': {'STATIC': 7, 'SEMI_STATIC': 0, 'DYNAMIC': 0}, 'DYNAMIC': {'STATIC': 7, 'SEMI_STATIC': 0, 'DYNAMIC': 0}}",0.0,0.0,3,kalman_tracking_only,0.18886849660373642,7.833333333333333,248.0
motion_aware_full,1.202211360767343,0.24224519777691947,0.0012771077781777692,0.34481910010799766,2.188425133738488,0.6970021613495951,0.0,26.0,0.5,"{'STATIC': {'STATIC': 12, 'SEMI_STATIC': 0, 'DYNAMIC': 0}, 'SEMI_STATIC': {'STATIC': 6, 'SEMI_STATIC': 1, 'DYNAMIC': 0}, 'DYNAMIC': {'STATIC': 7, 'SEMI_STATIC': 0, 'DYNAMIC': 0}}",1.0,0.07142857142857142,3,full_motion_aware,0.18886849660373642,7.833333333333333,248.0
