method,ate,rpe,avg_runtime_per_frame,total_runtime,landmark_position_error,map_consistency_score,false_landmark_updates,matched_landmarks,state_classification_accuracy,confusion_matrix,change_precision,change_recall,seed,run_label,dynamic_track_position_error,track_survival_length,id_switch_count
pov_baseline,1.5481995388946057,0.24587603238935626,0.0003628566662815434,0.09797129989601672,6.188672403127759,0.3512074383848569,27.0,57.0,0.3448275862068966,"{'STATIC': {'STATIC': 5, 'SEMI_STATIC': 9, 'DYNAMIC': 0}, 'SEMI_STATIC': {'STATIC': 4, 'SEMI_STATIC': 5, 'DYNAMIC': 0}, 'DYNAMIC': {'STATIC': 1, 'SEMI_STATIC': 5, 'DYNAMIC': 0}}",0.5263157894736842,0.6666666666666666,19,baseline,,,
motion_aware_filter_only,1.3694182145356397,0.24591716105242836,0.0008022100000676732,0.21659670001827178,2.613729415663373,0.578212066420452,0.0,51.0,0.6206896551724138,"{'STATIC': {'STATIC': 12, 'SEMI_STATIC': 0, 'DYNAMIC': 2}, 'SEMI_STATIC': {'STATIC': 6, 'SEMI_STATIC': 0, 'DYNAMIC': 3}, 'DYNAMIC': {'STATIC': 0, 'SEMI_STATIC': 0, 'DYNAMIC': 6}}",0.8181818181818182,0.6,19,dynamic_filter_only,0.1373144034772459,8.4,4.0
motion_aware_tracking_only,1.3694182145356397,0.24591716105242836,0.0008209851846374849,0.2216659998521209,2.613729415663373,0.578212066420452,0.0,51.0,0.6206896551724138,"{'STATIC': {'STATIC': 12, 'SEMI_STATIC': 0, 'DYNAMIC': 2}, 'SEMI_STATIC': {'STATIC': 6, 'SEMI_STATIC': 0, 'DYNAMIC': 3}, 'DYNAMIC': {'STATIC': 0, 'SEMI_STATIC': 0, 'DYNAMIC': 6}}",0.8181818181818182,0.6,19,kalman_tracking_only,0.1373144034772459,8.4,4.0
motion_aware_full,1.456106062684527,0.2538925403348247,0.0008040881482884287,0.21710380003787577,2.7466004944064464,0.5535744322611664,0.0,49.0,0.4482758620689655,"{'STATIC': {'STATIC': 1, 'SEMI_STATIC': 11, 'DYNAMIC': 2}, 'SEMI_STATIC': {'STATIC': 0, 'SEMI_STATIC': 6, 'DYNAMIC': 3}, 'DYNAMIC': {'STATIC': 0, 'SEMI_STATIC': 0, 'DYNAMIC': 6}}",0.5357142857142857,1.0,19,full_motion_aware,0.13973227108039854,8.4,5.0
