method,ate,rpe,avg_runtime_per_frame,total_runtime,landmark_position_error,map_consistency_score,false_landmark_updates,matched_landmarks,state_classification_accuracy,confusion_matrix,change_precision,change_recall,seed,run_label,dynamic_track_position_error,track_survival_length,id_switch_count
pov_baseline,1.5136116720607882,0.26656574722420545,0.00021614148109047504,0.05835819989442826,2.8282285775991314,0.4465115016935016,28.0,31.0,0.4482758620689655,"{'STATIC': {'STATIC': 9, 'SEMI_STATIC': 10, 'DYNAMIC': 0}, 'SEMI_STATIC': {'STATIC': 6, 'SEMI_STATIC': 4, 'DYNAMIC': 0}, 'DYNAMIC': {'STATIC': 0, 'SEMI_STATIC': 0, 'DYNAMIC': 0}}",0.2857142857142857,0.4,3,baseline,,,
motion_aware_filter_only,1.3223927301484857,0.2824098381637075,0.0008859937036134024,0.23921829997561866,1.9452870160328934,0.6109425967934213,0.0,41.0,0.3793103448275862,"{'STATIC': {'STATIC': 11, 'SEMI_STATIC': 0, 'DYNAMIC': 8}, 'SEMI_STATIC': {'STATIC': 7, 'SEMI_STATIC': 0, 'DYNAMIC': 3}, 'DYNAMIC': {'STATIC': 0, 'SEMI_STATIC': 0, 'DYNAMIC': 0}}",0.2727272727272727,0.3,3,dynamic_filter_only,0.1763995211691498,9.75,95.0
motion_aware_tracking_only,1.3223927301484857,0.2824098381637075,0.0008273329628907421,0.22337989998050037,1.9452870160328934,0.6109425967934213,0.0,41.0,0.3793103448275862,"{'STATIC': {'STATIC': 11, 'SEMI_STATIC': 0, 'DYNAMIC': 8}, 'SEMI_STATIC': {'STATIC': 7, 'SEMI_STATIC': 0, 'DYNAMIC': 3}, 'DYNAMIC': {'STATIC': 0, 'SEMI_STATIC': 0, 'DYNAMIC': 0}}",0.2727272727272727,0.3,3,kalman_tracking_only,0.1763995211691498,9.75,95.0
motion_aware_full,1.287715280996584,0.2850377127608586,0.0008431596302047923,0.22765310015529394,1.7430994856905455,0.6513874785772841,4.0,38.0,0.3448275862068966,"{'STATIC': {'STATIC': 4, 'SEMI_STATIC': 7, 'DYNAMIC': 8}, 'SEMI_STATIC': {'STATIC': 1, 'SEMI_STATIC': 6, 'DYNAMIC': 3}, 'DYNAMIC': {'STATIC': 0, 'SEMI_STATIC': 0, 'DYNAMIC': 0}}",0.375,0.9,3,full_motion_aware,0.1775030544569727,9.75,95.0
