method,ate,rpe,avg_runtime_per_frame,total_runtime,landmark_position_error,map_consistency_score,false_landmark_updates,matched_landmarks,state_classification_accuracy,confusion_matrix,change_precision,change_recall,seed,run_label,dynamic_track_position_error,track_survival_length,id_switch_count
pov_baseline,1.9801602811841061,0.2614219650331199,0.0002501988886959022,0.0675536999478936,4.9213198086824885,0.32113377563087336,27.0,52.0,0.3448275862068966,"{'STATIC': {'STATIC': 6, 'SEMI_STATIC': 11, 'DYNAMIC': 0}, 'SEMI_STATIC': {'STATIC': 2, 'SEMI_STATIC': 4, 'DYNAMIC': 0}, 'DYNAMIC': {'STATIC': 1, 'SEMI_STATIC': 5, 'DYNAMIC': 0}}",0.45,0.75,11,baseline,,,
motion_aware_filter_only,1.3958400685587145,0.26257625271817264,0.0007672696296746535,0.20716280001215642,3.26322371563151,0.5530534676315588,0.0,44.0,0.6206896551724138,"{'STATIC': {'STATIC': 13, 'SEMI_STATIC': 0, 'DYNAMIC': 4}, 'SEMI_STATIC': {'STATIC': 4, 'SEMI_STATIC': 0, 'DYNAMIC': 2}, 'DYNAMIC': {'STATIC': 1, 'SEMI_STATIC': 0, 'DYNAMIC': 5}}",0.6363636363636364,0.5833333333333334,11,dynamic_filter_only,0.10968131513213876,5.625,4.0
motion_aware_tracking_only,1.3958400685587145,0.26257625271817264,0.0008343548151767915,0.22527580009773368,3.26322371563151,0.5530534676315588,0.0,44.0,0.6206896551724138,"{'STATIC': {'STATIC': 13, 'SEMI_STATIC': 0, 'DYNAMIC': 4}, 'SEMI_STATIC': {'STATIC': 4, 'SEMI_STATIC': 0, 'DYNAMIC': 2}, 'DYNAMIC': {'STATIC': 1, 'SEMI_STATIC': 0, 'DYNAMIC': 5}}",0.6363636363636364,0.5833333333333334,11,kalman_tracking_only,0.10968131513213876,5.625,4.0
motion_aware_full,1.3065574977093948,0.26617704268539377,0.0007693229631210369,0.20771720004267996,3.0348689216099296,0.5743281666731627,3.0,48.0,0.3793103448275862,"{'STATIC': {'STATIC': 3, 'SEMI_STATIC': 10, 'DYNAMIC': 4}, 'SEMI_STATIC': {'STATIC': 1, 'SEMI_STATIC': 3, 'DYNAMIC': 2}, 'DYNAMIC': {'STATIC': 0, 'SEMI_STATIC': 1, 'DYNAMIC': 5}}",0.44,0.9166666666666666,11,full_motion_aware,0.114748456012794,6.0,7.0
