method,ate,rpe,avg_runtime_per_frame,total_runtime,landmark_position_error,map_consistency_score,false_landmark_updates,matched_landmarks,state_classification_accuracy,confusion_matrix,change_precision,change_recall,seed,run_label,dynamic_track_position_error,track_survival_length,id_switch_count
pov_baseline,2.012523056644992,0.2965301798681894,0.00030822740712513526,0.08322139992378652,5.8913220841256475,0.27517308732180734,28.0,66.0,0.27586206896551724,"{'STATIC': {'STATIC': 5, 'SEMI_STATIC': 5, 'DYNAMIC': 0}, 'SEMI_STATIC': {'STATIC': 3, 'SEMI_STATIC': 3, 'DYNAMIC': 0}, 'DYNAMIC': {'STATIC': 1, 'SEMI_STATIC': 12, 'DYNAMIC': 0}}",0.75,0.7894736842105263,3,baseline,,,
motion_aware_filter_only,2.0106270524638,0.30386152840507313,0.0009408607406334744,0.2540323999710381,4.337064995802352,0.4307759645574022,0.0,61.0,0.6551724137931034,"{'STATIC': {'STATIC': 9, 'SEMI_STATIC': 0, 'DYNAMIC': 1}, 'SEMI_STATIC': {'STATIC': 6, 'SEMI_STATIC': 0, 'DYNAMIC': 0}, 'DYNAMIC': {'STATIC': 3, 'SEMI_STATIC': 0, 'DYNAMIC': 10}}",0.9090909090909091,0.5263157894736842,3,dynamic_filter_only,0.11997957964223822,8.125,66.0
motion_aware_tracking_only,2.0106270524638,0.30386152840507313,0.000955781481159782,0.25806099991314113,4.337064995802352,0.4307759645574022,0.0,61.0,0.6551724137931034,"{'STATIC': {'STATIC': 9, 'SEMI_STATIC': 0, 'DYNAMIC': 1}, 'SEMI_STATIC': {'STATIC': 6, 'SEMI_STATIC': 0, 'DYNAMIC': 0}, 'DYNAMIC': {'STATIC': 3, 'SEMI_STATIC': 0, 'DYNAMIC': 10}}",0.9090909090909091,0.5263157894736842,3,kalman_tracking_only,0.11997957964223822,8.125,66.0
motion_aware_full,1.9752926182150532,0.3020613226471948,0.0010097014821237992,0.2726194001734258,4.223485076182325,0.44290516566898286,6.0,63.0,0.5517241379310345,"{'STATIC': {'STATIC': 0, 'SEMI_STATIC': 9, 'DYNAMIC': 1}, 'SEMI_STATIC': {'STATIC': 0, 'SEMI_STATIC': 6, 'DYNAMIC': 0}, 'DYNAMIC': {'STATIC': 0, 'SEMI_STATIC': 3, 'DYNAMIC': 10}}",0.6551724137931034,1.0,3,full_motion_aware,0.12061786688160446,8.125,66.0
