method,ate,rpe,avg_runtime_per_frame,total_runtime,landmark_position_error,map_consistency_score,false_landmark_updates,matched_landmarks,state_classification_accuracy,confusion_matrix,change_precision,change_recall,seed,run_label,dynamic_track_position_error,track_survival_length,id_switch_count
pov_baseline,1.6641503595879945,0.19915815259005978,0.00022695111110806454,0.06127679999917743,3.134639818364782,0.3865562687893274,30.0,30.0,0.3448275862068966,"{'STATIC': {'STATIC': 9, 'SEMI_STATIC': 9, 'DYNAMIC': 0}, 'SEMI_STATIC': {'STATIC': 10, 'SEMI_STATIC': 1, 'DYNAMIC': 0}, 'DYNAMIC': {'STATIC': 0, 'SEMI_STATIC': 0, 'DYNAMIC': 0}}",0.1,0.09090909090909091,3,baseline,,,
motion_aware_filter_only,1.4346507013735255,0.22398476207103044,0.0008948862957940609,0.24161929986439645,2.036223654184853,0.5927552691630295,0.0,36.0,0.41379310344827586,"{'STATIC': {'STATIC': 12, 'SEMI_STATIC': 0, 'DYNAMIC': 6}, 'SEMI_STATIC': {'STATIC': 6, 'SEMI_STATIC': 0, 'DYNAMIC': 5}, 'DYNAMIC': {'STATIC': 0, 'SEMI_STATIC': 0, 'DYNAMIC': 0}}",0.45454545454545453,0.45454545454545453,3,dynamic_filter_only,0.14202842852477393,10.25,1.0
motion_aware_tracking_only,1.4346507013735255,0.22398476207103044,0.0008042385189414578,0.21714440011419361,2.036223654184853,0.5927552691630295,0.0,36.0,0.41379310344827586,"{'STATIC': {'STATIC': 12, 'SEMI_STATIC': 0, 'DYNAMIC': 6}, 'SEMI_STATIC': {'STATIC': 6, 'SEMI_STATIC': 0, 'DYNAMIC': 5}, 'DYNAMIC': {'STATIC': 0, 'SEMI_STATIC': 0, 'DYNAMIC': 0}}",0.45454545454545453,0.45454545454545453,3,kalman_tracking_only,0.14202842852477393,10.25,1.0
motion_aware_full,1.299260796263347,0.22159503582861917,0.0008470914809516183,0.22871469985693693,2.027114795289013,0.5945770409421974,0.0,44.0,0.3103448275862069,"{'STATIC': {'STATIC': 4, 'SEMI_STATIC': 8, 'DYNAMIC': 6}, 'SEMI_STATIC': {'STATIC': 1, 'SEMI_STATIC': 5, 'DYNAMIC': 5}, 'DYNAMIC': {'STATIC': 0, 'SEMI_STATIC': 0, 'DYNAMIC': 0}}",0.4166666666666667,0.9090909090909091,3,full_motion_aware,0.14167426179737438,10.25,1.0
