method,ate,rpe,avg_runtime_per_frame,total_runtime,landmark_position_error,map_consistency_score,false_landmark_updates,matched_landmarks,state_classification_accuracy,confusion_matrix,change_precision,change_recall,seed,run_label,dynamic_track_position_error,track_survival_length,id_switch_count
baseline,1.7600357183925097,0.31226210254224396,0.0005715188889384822,0.15431010001339018,7.092774386904169,0.2700836141813702,0.0,120.0,0.3416666666666667,"{'STATIC': {'STATIC': 41, 'SEMI_STATIC': 0, 'DYNAMIC': 0}, 'SEMI_STATIC': {'STATIC': 5, 'SEMI_STATIC': 0, 'DYNAMIC': 0}, 'DYNAMIC': {'STATIC': 74, 'SEMI_STATIC': 0, 'DYNAMIC': 0}}",0.0,0.0,11,baseline,,,
motion_aware_filter_only,2.2241430618544356,0.3218094897335902,0.0011567944445198884,0.3123345000203699,6.923526528744493,0.3437463461400529,0.0,26.0,0.5769230769230769,"{'STATIC': {'STATIC': 15, 'SEMI_STATIC': 0, 'DYNAMIC': 0}, 'SEMI_STATIC': {'STATIC': 2, 'SEMI_STATIC': 0, 'DYNAMIC': 0}, 'DYNAMIC': {'STATIC': 9, 'SEMI_STATIC': 0, 'DYNAMIC': 0}}",0.0,0.0,11,dynamic_filter_only,0.15011108637026419,7.733333333333333,118.0
motion_aware_tracking_only,2.2241430618544356,0.3218094897335902,0.0011922340736620954,0.32190319988876576,6.923526528744493,0.3437463461400529,0.0,26.0,0.5769230769230769,"{'STATIC': {'STATIC': 15, 'SEMI_STATIC': 0, 'DYNAMIC': 0}, 'SEMI_STATIC': {'STATIC': 2, 'SEMI_STATIC': 0, 'DYNAMIC': 0}, 'DYNAMIC': {'STATIC': 9, 'SEMI_STATIC': 0, 'DYNAMIC': 0}}",0.0,0.0,11,kalman_tracking_only,0.15011108637026419,7.733333333333333,118.0
motion_aware_full,2.2248128382180745,0.3221658614073158,0.0014444437033186357,0.3899997998960316,6.908670366842103,0.34671757852053087,0.0,26.0,0.5384615384615384,"{'STATIC': {'STATIC': 14, 'SEMI_STATIC': 1, 'DYNAMIC': 0}, 'SEMI_STATIC': {'STATIC': 2, 'SEMI_STATIC': 0, 'DYNAMIC': 0}, 'DYNAMIC': {'STATIC': 9, 'SEMI_STATIC': 0, 'DYNAMIC': 0}}",0.0,0.0,11,full_motion_aware,0.14924591833440257,8.214285714285714,117.0
