run_label,ate,rpe,avg_runtime_per_frame,total_runtime,landmark_position_error,map_consistency_score,false_landmark_updates,matched_landmarks,state_classification_accuracy,change_precision,change_recall,dynamic_track_position_error,track_survival_length,id_switch_count,world.motion_mix.dynamic,robot.detection_noise_std
baseline,2.259405796253857,0.3089850210259219,0.00028665956008437746,0.07739808122278191,5.567231375001479,0.3038955321255032,32.291666666666664,55.645833333333336,0.36350574712643674,0.5008218173690898,0.6544941857248359,,,,0.3,0.3125
dynamic_filter_only,1.9533410376670328,0.31397586327216137,0.0008835166742677374,0.23854950205228911,3.6164749690967235,0.45899078010403455,0.0,56.229166666666664,0.5804597701149425,0.6971590909090909,0.5392688629095362,0.1405386849525925,8.223155663780664,24.3125,0.3,0.3125
full_motion_aware,2.0121026723851516,0.3170443436631509,0.0008910218209537022,0.2405758916574996,3.624415223966127,0.4493881669863066,2.6458333333333335,59.833333333333336,0.4317528735632184,0.515308598077952,0.9526315987253487,0.14047673435796446,8.31453373015873,23.916666666666668,0.3,0.3125
kalman_tracking_only,1.9533410376670328,0.31397586327216137,0.0008779795370589264,0.23705447500591012,3.6164749690967235,0.45899078010403455,0.0,56.229166666666664,0.5804597701149425,0.6971590909090909,0.5392688629095362,0.1405386849525925,8.223155663780664,24.3125,0.3,0.3125
