method,ate,rpe,avg_runtime_per_frame,total_runtime,landmark_position_error,map_consistency_score,false_landmark_updates,matched_landmarks,state_classification_accuracy,confusion_matrix,change_precision,change_recall,seed,run_label,dynamic_track_position_error,track_survival_length,id_switch_count
baseline,1.8763882105731977,0.22723859037364813,0.0003748648153204056,0.10121350013650952,3.895071787677629,0.368916046657551,0.0,99.0,0.20202020202020202,"{'STATIC': {'STATIC': 20, 'SEMI_STATIC': 0, 'DYNAMIC': 0}, 'SEMI_STATIC': {'STATIC': 26, 'SEMI_STATIC': 0, 'DYNAMIC': 0}, 'DYNAMIC': {'STATIC': 53, 'SEMI_STATIC': 0, 'DYNAMIC': 0}}",0.0,0.0,19,baseline,,,
motion_aware_filter_only,2.04406459353627,0.23065001429018983,0.0011531940738980968,0.31136239995248616,3.1483825393442406,0.4852795760384843,0.0,27.0,0.2962962962962963,"{'STATIC': {'STATIC': 8, 'SEMI_STATIC': 0, 'DYNAMIC': 0}, 'SEMI_STATIC': {'STATIC': 10, 'SEMI_STATIC': 0, 'DYNAMIC': 0}, 'DYNAMIC': {'STATIC': 9, 'SEMI_STATIC': 0, 'DYNAMIC': 0}}",0.0,0.0,19,dynamic_filter_only,0.18364788050803196,6.7894736842105265,154.0
motion_aware_tracking_only,2.04406459353627,0.23065001429018983,0.0013911925920250792,0.37562199984677136,3.1483825393442406,0.4852795760384843,0.0,27.0,0.2962962962962963,"{'STATIC': {'STATIC': 8, 'SEMI_STATIC': 0, 'DYNAMIC': 0}, 'SEMI_STATIC': {'STATIC': 10, 'SEMI_STATIC': 0, 'DYNAMIC': 0}, 'DYNAMIC': {'STATIC': 9, 'SEMI_STATIC': 0, 'DYNAMIC': 0}}",0.0,0.0,19,kalman_tracking_only,0.18364788050803196,6.7894736842105265,154.0
motion_aware_full,2.031321574566936,0.23029490634461874,0.00116786592622736,0.31532380008138716,3.1434075339022174,0.486274577126889,0.0,27.0,0.25925925925925924,"{'STATIC': {'STATIC': 7, 'SEMI_STATIC': 1, 'DYNAMIC': 0}, 'SEMI_STATIC': {'STATIC': 10, 'SEMI_STATIC': 0, 'DYNAMIC': 0}, 'DYNAMIC': {'STATIC': 9, 'SEMI_STATIC': 0, 'DYNAMIC': 0}}",0.0,0.0,19,full_motion_aware,0.18328143574029102,6.7894736842105265,152.0
