method,ate,rpe,avg_runtime_per_frame,total_runtime,landmark_position_error,map_consistency_score,false_landmark_updates,matched_landmarks,state_classification_accuracy,confusion_matrix,change_precision,change_recall,seed,run_label,dynamic_track_position_error,track_survival_length,id_switch_count
baseline,1.5169512670041008,0.17235970996351593,0.0003710877779802238,0.10019370005466043,4.636531349083929,0.41405006314429355,0.0,84.0,0.4523809523809524,"{'STATIC': {'STATIC': 38, 'SEMI_STATIC': 0, 'DYNAMIC': 0}, 'SEMI_STATIC': {'STATIC': 9, 'SEMI_STATIC': 0, 'DYNAMIC': 0}, 'DYNAMIC': {'STATIC': 37, 'SEMI_STATIC': 0, 'DYNAMIC': 0}}",0.0,0.0,11,baseline,,,
motion_aware_filter_only,2.033894040967211,0.16590747937497216,0.0012902566671578425,0.34836930013261747,4.028704683516852,0.38828776723370495,0.0,28.0,0.6428571428571429,"{'STATIC': {'STATIC': 18, 'SEMI_STATIC': 0, 'DYNAMIC': 0}, 'SEMI_STATIC': {'STATIC': 4, 'SEMI_STATIC': 0, 'DYNAMIC': 0}, 'DYNAMIC': {'STATIC': 6, 'SEMI_STATIC': 0, 'DYNAMIC': 0}}",0.0,0.0,11,dynamic_filter_only,0.18345308926316214,5.9393939393939394,169.0
motion_aware_tracking_only,2.033894040967211,0.16590747937497216,0.0012580285185120174,0.3396676999982447,4.028704683516852,0.38828776723370495,0.0,28.0,0.6428571428571429,"{'STATIC': {'STATIC': 18, 'SEMI_STATIC': 0, 'DYNAMIC': 0}, 'SEMI_STATIC': {'STATIC': 4, 'SEMI_STATIC': 0, 'DYNAMIC': 0}, 'DYNAMIC': {'STATIC': 6, 'SEMI_STATIC': 0, 'DYNAMIC': 0}}",0.0,0.0,11,kalman_tracking_only,0.18345308926316214,5.9393939393939394,169.0
motion_aware_full,2.033894040967211,0.16590747937497216,0.0014416244441505383,0.38923859992064536,4.028704683516852,0.38828776723370495,0.0,28.0,0.6428571428571429,"{'STATIC': {'STATIC': 18, 'SEMI_STATIC': 0, 'DYNAMIC': 0}, 'SEMI_STATIC': {'STATIC': 4, 'SEMI_STATIC': 0, 'DYNAMIC': 0}, 'DYNAMIC': {'STATIC': 6, 'SEMI_STATIC': 0, 'DYNAMIC': 0}}",0.0,0.0,11,full_motion_aware,0.18345308926316214,5.9393939393939394,169.0
