method,ate,rpe,avg_runtime_per_frame,total_runtime,landmark_position_error,map_consistency_score,false_landmark_updates,matched_landmarks,state_classification_accuracy,confusion_matrix,change_precision,change_recall,seed,run_label,dynamic_track_position_error,track_survival_length,id_switch_count
pov_baseline,2.8567401650510282,0.35337729675980756,0.0002819559252303507,0.07612809981219469,6.09745764011478,0.28147467410912796,35.0,57.0,0.3103448275862069,"{'STATIC': {'STATIC': 4, 'SEMI_STATIC': 8, 'DYNAMIC': 0}, 'SEMI_STATIC': {'STATIC': 3, 'SEMI_STATIC': 5, 'DYNAMIC': 0}, 'DYNAMIC': {'STATIC': 2, 'SEMI_STATIC': 7, 'DYNAMIC': 0}}",0.6,0.7058823529411765,3,baseline,,,
motion_aware_filter_only,2.530203707525968,0.3591461365953509,0.0009925714814690532,0.26799429999664437,4.9823525556059485,0.384365309679399,0.0,69.0,0.5517241379310345,"{'STATIC': {'STATIC': 10, 'SEMI_STATIC': 0, 'DYNAMIC': 2}, 'SEMI_STATIC': {'STATIC': 5, 'SEMI_STATIC': 0, 'DYNAMIC': 3}, 'DYNAMIC': {'STATIC': 3, 'SEMI_STATIC': 0, 'DYNAMIC': 6}}",0.8181818181818182,0.5294117647058824,3,dynamic_filter_only,0.13280117918232,8.125,4.0
motion_aware_tracking_only,2.530203707525968,0.3591461365953509,0.0008546362958710505,0.23075179988518363,4.9823525556059485,0.384365309679399,0.0,69.0,0.5517241379310345,"{'STATIC': {'STATIC': 10, 'SEMI_STATIC': 0, 'DYNAMIC': 2}, 'SEMI_STATIC': {'STATIC': 5, 'SEMI_STATIC': 0, 'DYNAMIC': 3}, 'DYNAMIC': {'STATIC': 3, 'SEMI_STATIC': 0, 'DYNAMIC': 6}}",0.8181818181818182,0.5294117647058824,3,kalman_tracking_only,0.13280117918232,8.125,4.0
motion_aware_full,2.508795120266816,0.36199949272975357,0.0009982981477622633,0.2695404998958111,4.8543555944532315,0.3863723470055451,6.0,68.0,0.41379310344827586,"{'STATIC': {'STATIC': 1, 'SEMI_STATIC': 9, 'DYNAMIC': 2}, 'SEMI_STATIC': {'STATIC': 0, 'SEMI_STATIC': 5, 'DYNAMIC': 3}, 'DYNAMIC': {'STATIC': 0, 'SEMI_STATIC': 3, 'DYNAMIC': 6}}",0.6071428571428571,1.0,3,full_motion_aware,0.13749159024081378,8.125,7.0
