method,ate,rpe,avg_runtime_per_frame,total_runtime,landmark_position_error,map_consistency_score,false_landmark_updates,matched_landmarks,state_classification_accuracy,confusion_matrix,change_precision,change_recall,seed,run_label,dynamic_track_position_error,track_survival_length,id_switch_count
pov_baseline,1.7727134075538173,0.28023670074077006,0.0002558829625033671,0.0690883998759091,3.8709301767525788,0.4963138321626753,27.0,46.0,0.3793103448275862,"{'STATIC': {'STATIC': 7, 'SEMI_STATIC': 13, 'DYNAMIC': 0}, 'SEMI_STATIC': {'STATIC': 3, 'SEMI_STATIC': 4, 'DYNAMIC': 0}, 'DYNAMIC': {'STATIC': 1, 'SEMI_STATIC': 1, 'DYNAMIC': 0}}",0.2777777777777778,0.5555555555555556,11,baseline,,,
motion_aware_filter_only,1.520090262159807,0.29545864453463794,0.0008657992593254204,0.2337658000178635,2.6656760227635448,0.5921628616482076,0.0,48.0,0.5517241379310345,"{'STATIC': {'STATIC': 14, 'SEMI_STATIC': 0, 'DYNAMIC': 6}, 'SEMI_STATIC': {'STATIC': 4, 'SEMI_STATIC': 0, 'DYNAMIC': 3}, 'DYNAMIC': {'STATIC': 0, 'SEMI_STATIC': 0, 'DYNAMIC': 2}}",0.45454545454545453,0.5555555555555556,11,dynamic_filter_only,0.15977905872570455,8.0,16.0
motion_aware_tracking_only,1.520090262159807,0.29545864453463794,0.0009740429628571425,0.26299159997142846,2.6656760227635448,0.5921628616482076,0.0,48.0,0.5517241379310345,"{'STATIC': {'STATIC': 14, 'SEMI_STATIC': 0, 'DYNAMIC': 6}, 'SEMI_STATIC': {'STATIC': 4, 'SEMI_STATIC': 0, 'DYNAMIC': 3}, 'DYNAMIC': {'STATIC': 0, 'SEMI_STATIC': 0, 'DYNAMIC': 2}}",0.45454545454545453,0.5555555555555556,11,kalman_tracking_only,0.15977905872570455,8.0,16.0
motion_aware_full,1.500279823620349,0.2933831106120762,0.0008204507408663633,0.22152170003391808,2.607605396688338,0.5964065123808421,1.0,51.0,0.5517241379310345,"{'STATIC': {'STATIC': 11, 'SEMI_STATIC': 3, 'DYNAMIC': 6}, 'SEMI_STATIC': {'STATIC': 1, 'SEMI_STATIC': 3, 'DYNAMIC': 3}, 'DYNAMIC': {'STATIC': 0, 'SEMI_STATIC': 0, 'DYNAMIC': 2}}",0.47058823529411764,0.8888888888888888,11,full_motion_aware,0.1603625013509891,8.0,16.0
