method,ate,rpe,avg_runtime_per_frame,total_runtime,landmark_position_error,map_consistency_score,false_landmark_updates,matched_landmarks,state_classification_accuracy,confusion_matrix,change_precision,change_recall,seed,run_label,dynamic_track_position_error,track_survival_length,id_switch_count
pov_baseline,2.035199939993297,0.3137512078323347,0.0003073325923954447,0.08297979994677007,3.1687254665096147,0.44330852368487134,23.0,38.0,0.5517241379310345,"{'STATIC': {'STATIC': 8, 'SEMI_STATIC': 10, 'DYNAMIC': 0}, 'SEMI_STATIC': {'STATIC': 3, 'SEMI_STATIC': 8, 'DYNAMIC': 0}, 'DYNAMIC': {'STATIC': 0, 'SEMI_STATIC': 0, 'DYNAMIC': 0}}",0.4444444444444444,0.7272727272727273,7,baseline,,,
motion_aware_filter_only,2.0532820219994696,0.32322536363352394,0.0008806370371193799,0.2377720000222326,3.2611205405069685,0.4289643781382869,0.0,60.0,0.4482758620689655,"{'STATIC': {'STATIC': 13, 'SEMI_STATIC': 0, 'DYNAMIC': 5}, 'SEMI_STATIC': {'STATIC': 5, 'SEMI_STATIC': 0, 'DYNAMIC': 6}, 'DYNAMIC': {'STATIC': 0, 'SEMI_STATIC': 0, 'DYNAMIC': 0}}",0.5454545454545454,0.5454545454545454,7,dynamic_filter_only,0.15821482656017188,11.6,29.0
motion_aware_tracking_only,2.0532820219994696,0.32322536363352394,0.0008366985186175615,0.22590860002674162,3.2611205405069685,0.4289643781382869,0.0,60.0,0.4482758620689655,"{'STATIC': {'STATIC': 13, 'SEMI_STATIC': 0, 'DYNAMIC': 5}, 'SEMI_STATIC': {'STATIC': 5, 'SEMI_STATIC': 0, 'DYNAMIC': 6}, 'DYNAMIC': {'STATIC': 0, 'SEMI_STATIC': 0, 'DYNAMIC': 0}}",0.5454545454545454,0.5454545454545454,7,kalman_tracking_only,0.15821482656017188,11.6,29.0
motion_aware_full,2.1408307034953684,0.32389883893522087,0.0008684333336229123,0.23447700007818634,3.1359913539841453,0.4423804166541117,2.0,69.0,0.13793103448275862,"{'STATIC': {'STATIC': 0, 'SEMI_STATIC': 13, 'DYNAMIC': 5}, 'SEMI_STATIC': {'STATIC': 1, 'SEMI_STATIC': 4, 'DYNAMIC': 6}, 'DYNAMIC': {'STATIC': 0, 'SEMI_STATIC': 0, 'DYNAMIC': 0}}",0.35714285714285715,0.9090909090909091,7,full_motion_aware,0.15879360750889818,11.6,27.0
