method,ate,rpe,avg_runtime_per_frame,total_runtime,landmark_position_error,map_consistency_score,false_landmark_updates,matched_landmarks,state_classification_accuracy,confusion_matrix,change_precision,change_recall,seed,run_label,dynamic_track_position_error,track_survival_length,id_switch_count
pov_baseline,1.3607663042497822,0.24113531676020272,0.00026754333327213924,0.07223669998347759,6.23661432482226,0.40761254056742996,13.0,48.0,0.3793103448275862,"{'STATIC': {'STATIC': 5, 'SEMI_STATIC': 9, 'DYNAMIC': 0}, 'SEMI_STATIC': {'STATIC': 3, 'SEMI_STATIC': 6, 'DYNAMIC': 0}, 'DYNAMIC': {'STATIC': 1, 'SEMI_STATIC': 5, 'DYNAMIC': 0}}",0.55,0.7333333333333333,19,baseline,,,
motion_aware_filter_only,1.3415348482889897,0.28372477743887226,0.0009973922218368561,0.26929589989595115,2.511246883739831,0.578742487853854,0.0,61.0,0.6206896551724138,"{'STATIC': {'STATIC': 12, 'SEMI_STATIC': 0, 'DYNAMIC': 2}, 'SEMI_STATIC': {'STATIC': 6, 'SEMI_STATIC': 0, 'DYNAMIC': 3}, 'DYNAMIC': {'STATIC': 0, 'SEMI_STATIC': 0, 'DYNAMIC': 6}}",0.8181818181818182,0.6,19,dynamic_filter_only,0.1597518877512765,8.4,7.0
motion_aware_tracking_only,1.3415348482889897,0.28372477743887226,0.000847647778034486,0.2288649000693112,2.511246883739831,0.578742487853854,0.0,61.0,0.6206896551724138,"{'STATIC': {'STATIC': 12, 'SEMI_STATIC': 0, 'DYNAMIC': 2}, 'SEMI_STATIC': {'STATIC': 6, 'SEMI_STATIC': 0, 'DYNAMIC': 3}, 'DYNAMIC': {'STATIC': 0, 'SEMI_STATIC': 0, 'DYNAMIC': 6}}",0.8181818181818182,0.6,19,kalman_tracking_only,0.1597518877512765,8.4,7.0
motion_aware_full,1.7216750383438124,0.2780727934750885,0.0008562248148438006,0.23118070000782615,2.8653511484808183,0.5006027155386089,1.0,71.0,0.4482758620689655,"{'STATIC': {'STATIC': 1, 'SEMI_STATIC': 11, 'DYNAMIC': 2}, 'SEMI_STATIC': {'STATIC': 0, 'SEMI_STATIC': 6, 'DYNAMIC': 3}, 'DYNAMIC': {'STATIC': 0, 'SEMI_STATIC': 0, 'DYNAMIC': 6}}",0.5357142857142857,1.0,19,full_motion_aware,0.15992431152885594,8.4,8.0
