method,ate,rpe,avg_runtime_per_frame,total_runtime,landmark_position_error,map_consistency_score,false_landmark_updates,matched_landmarks,state_classification_accuracy,confusion_matrix,change_precision,change_recall,seed,run_label,dynamic_track_position_error,track_survival_length,id_switch_count
pov_baseline,2.035240011662105,0.29729641918491223,0.0002515155554714578,0.06790919997729361,6.466776020145439,0.30665576338572464,38.0,56.0,0.3103448275862069,"{'STATIC': {'STATIC': 3, 'SEMI_STATIC': 7, 'DYNAMIC': 0}, 'SEMI_STATIC': {'STATIC': 5, 'SEMI_STATIC': 6, 'DYNAMIC': 0}, 'DYNAMIC': {'STATIC': 1, 'SEMI_STATIC': 7, 'DYNAMIC': 0}}",0.65,0.6842105263157895,19,baseline,,,
motion_aware_filter_only,1.8955213997366767,0.2956968828890139,0.0008928966665364523,0.24108209996484214,3.890259227371406,0.47400095901312156,0.0,61.0,0.6206896551724138,"{'STATIC': {'STATIC': 10, 'SEMI_STATIC': 0, 'DYNAMIC': 0}, 'SEMI_STATIC': {'STATIC': 8, 'SEMI_STATIC': 0, 'DYNAMIC': 3}, 'DYNAMIC': {'STATIC': 0, 'SEMI_STATIC': 0, 'DYNAMIC': 8}}",1.0,0.5789473684210527,19,dynamic_filter_only,0.1448145126499063,5.5,44.0
motion_aware_tracking_only,1.8955213997366767,0.2956968828890139,0.000818195185382609,0.22091270005330443,3.890259227371406,0.47400095901312156,0.0,61.0,0.6206896551724138,"{'STATIC': {'STATIC': 10, 'SEMI_STATIC': 0, 'DYNAMIC': 0}, 'SEMI_STATIC': {'STATIC': 8, 'SEMI_STATIC': 0, 'DYNAMIC': 3}, 'DYNAMIC': {'STATIC': 0, 'SEMI_STATIC': 0, 'DYNAMIC': 8}}",1.0,0.5789473684210527,19,kalman_tracking_only,0.1448145126499063,5.5,44.0
motion_aware_full,1.8840572996187772,0.2941734635260806,0.0008470644441398756,0.22870739991776642,3.7816133018613085,0.469831067125344,2.0,66.0,0.5862068965517241,"{'STATIC': {'STATIC': 1, 'SEMI_STATIC': 9, 'DYNAMIC': 0}, 'SEMI_STATIC': {'STATIC': 0, 'SEMI_STATIC': 8, 'DYNAMIC': 3}, 'DYNAMIC': {'STATIC': 0, 'SEMI_STATIC': 0, 'DYNAMIC': 8}}",0.6785714285714286,1.0,19,full_motion_aware,0.1383519165060728,5.5,41.0
